# 요고비 카탈로그 원천 데이터셋 — 단일 원본(source of truth). DB는 이 파일의 투영이며 CRUD는 이 파일을 되쓴다.
# 형식: '#@ <dataset>' 줄이 섹션 경계다. 각 섹션의 첫 비주석 줄은 CSV 헤더, 이후가 데이터 행이다. 그 밖의 '#' 줄은 주석.
# 데이터셋: mobile_plan(통신요금) · subscription_service/subscription_tier(구독서비스) · plan_benefit(혜택) · bundle_product(번들).
#@ mobile_plan
carrier,plan_name,network_type,base_price,data_mb,voice_min,sms_cnt,contract_discount_12m,contract_discount_24m,age_limit,source_url,collected_at
KT,요고 61,5G,61000,999999,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직21GB,5G,58000,21504,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직21GB(이월),5G,58000,21504,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 완전무한51(3G),3G,56100,5120,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직14GB,5G,55000,14336,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직14GB(이월),5G,55000,14336,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 55,5G,55000,204800,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직10GB,5G,50000,10240,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직10GB(이월),5G,50000,10240,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 49,5G,49000,122880,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 46,5G,46000,81920,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 모두다올레41(3G),3G,45100,2560,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직7GB,5G,45000,7168,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직7GB(이월),5G,45000,7168,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 44,5G,44000,40960,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 42,5G,42000,35840,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 40,5G,40000,30720,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 i-밸류(3G),3G,39600,75,300,300,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 38,5G,38000,25600,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 모두다올레34(3G),3G,37400,1536,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직4GB,5G,37000,4096,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직4GB(이월),5G,37000,4096,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 36,5G,36000,20480,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 34,5G,34000,15360,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직1.4GB,5G,33000,1434,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 32,5G,32000,10240,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 모두다올레28(3G),3G,30800,750,999999,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,요고 30,5G,30000,8192,999999,999999,,,다이렉트,https://product.kt.com/wDic/index.do,2026-09-08
KT,베이직600MB,5G,28900,600,180,180,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 데이터 4GB (3G),3G,26950,4096,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 소리나눔23(3G),3G,25300,300,250,100,,,시각 장애인,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 손말나눔23(3G),3G,25300,300,120,1000,,,복지 청각·언어 장애인,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 알23(3G),3G,25300,500,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 i-슬림(3G),3G,23100,100,150,200,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 데이터 2GB (3G),3G,17600,2048,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
KT,순 데이터 1GB (3G),3G,13750,1024,,,,,ALL,https://product.kt.com/wDic/index.do,2026-09-08
LG U+,플러스플랜130,5G,130000,999999,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,플러스플랜115,5G,115000,999999,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,플러스플랜105,5G,105000,999999,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,플러스플랜95,5G,95000,999999,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜MAX,5G,85000,999999,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜MAX(Global),5G,85000,71680,250,250,,,외국인,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,유쓰 공유 데이터(60GB),5G,85000,999999,,,,,청년,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,너겟75,5G,75000,999999,300,,,,다이렉트,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜150GB,5G,75000,153600,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜150GB(Global),5G,75000,153600,250,250,,,외국인,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜150GB(Uth+60GB),5G,75000,215040,250,250,,,청년,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜150GB(복지),5G,75000,153600,,,,,복지,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜150GB(유쓰+60GB),5G,75000,215040,,,,,청년,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜125GB,5G,70000,128000,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜125GB(복지),5G,70000,128000,,,,,복지,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜125GB(유쓰+60GB),5G,70000,189440,,,,,청년,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,너겟69,5G,69000,999999,300,,,,다이렉트,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜95GB,5G,68000,97280,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜95GB(복지),5G,68000,97280,,,,,복지,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜95GB(유쓰+40GB),5G,68000,138240,,,,,청년,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜80GB,5G,66000,81920,300,,,,ALL,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
LG U+,데이터플랜80GB(Global),5G,66000,81920,250,250,,,외국인,https://www.lguplus.com/mobile/plan/mplan/plan-all,2026-09-08
